"time","t","yT0","yT1","yT2","yT3","yT4","yT5","A010_BF01 - [m³/h]","A010_BF02 - [m³/h]","A010_BL01 - [m]","A010_BL02 - [Digital]","A010_BP01 - [bar]","A010_BT02 - [°C]","A010_EB01 - [Digital]","A010_GP01_PV - [%]","A010_GP02_PV - [%]","A020_BP01 - [mbar]","A020_BP02 - [mbar]","A020_BT01 - [°C]","A020_BT02 - [°C]","A020_BT03 - [°C]","A020_GQ01_PV - [%]","A030_BL01 - [m]","A030_BL02 - [m]","A030_BT01 - [°C]","A030_BT02 - [°C]","A030_GP01_PV - [%]","A030_GP02_PV - [%]","A030_QM01_Closed - [Digital]","A030_QM01_Opened - [Digital]","A030_QM02_Closed - [Digital]","A030_QM02_Opened - [Digital]","A040_QN01_PV - [% open]","A040_QN03_PV - [% open]","A040_QN04_PV - [% open]","A050_BL01 - [m]","A050_BL02 - [Digital]","A050_BP01 - [bar]","A050_BT01 - [°C]","A050_BT02 - [°C]","A050_GP01_PV - [%]","A050_GP02_PV - [%]","A060_BP01 - [bar]","A060_BP02 - [bar]","A060_BT01 - [°C]","A060_BT02 - [°C]","A060_GP01_PV - [%]","A060_QN01_PV - [% open]","A070_GP01 - [Digital]","A080_GP01 - [Digital]","A193_BE01_kW - [kW]","A193_BE01_kWh - [kW/h]","Barometer Elab - [mbar]","CO2_abs_in - [%]","CO2_tør_abs - [%]","CO2_tør_efter_des - [%]","CO_abs_in - [%]","CO_abs_in - [ppm]","Damp_kedel - [kWh]","Effekt - [kW]","El effekt - [Wh]","Flow - [m³/h]","Flow_efter_abs - [Pa]","Flow_efter_des - [Pa]","Flow_før abs - [Pa]","Frem - [°C]","O2_calc_abs_in - [%]","O2_tør_abs - [%]","O2_tør_efter_des - [%]","O2_våd_abs - [%]","O2_våd_efter_des - [%]","Retur - [°C]","Rum Elab - [°C]","Røg - [°C]","Røgtab - [%]","Scantime","Text entry","Tryk - [Pa]"
"2025/03/06 17:00:10",0,46.28994,27.356198,44.941477,44.91432,46.058666,45.282182,4.434779,3.803992,0.362739,0,0.395486,44.605923,0,29.667246,48.987267,-1.164062,0.067708,22.371254,46.394672,85.571419,-0.104167,0.64895099999999994,0.457444,43.401051,34.728863,-0.121528,24.832172,1,0,1,0,3.674768,2.826967,0.465856,0.254803,0,0.35382,86.335655,87.403603,29.901617,78.761574,1.568577,0.821875,87.166367,88.923592,49.279507,80.10994,0,0,1.44968,2446,1012,0.062958,2.002306,7.052973,0.003149,0.381061,250.232,4.494643,16373.72,3.690143,1.291076,241.760839,0.795961,49.082455,20.906731,20.266765,19.407417,0.010952,18.20154,48.017479,27.9,62.373622,-190.032027,0.996003,NA,14.432281
"2025/03/06 17:00:30",20,46.454845,27.308947,45.524916,45.85221,47.884594,46.200648,4.424711,3.803992,0.365777,0,0.395486,44.657997,0,29.513889,48.993057,-1.164063,-1.244791,22.38283,46.469879,85.585892,-0.095486,0.64895099999999994,0.457444,43.338539,34.749115,-0.138889,24.837961,1,0,1,0,3.674768,2.826967,0.465856,0.245678,0,0.35382,86.376732,87.454544,29.901617,68.660309,1.568577,0.841956,87.217567,90.068604,49.270832,76.249992,0,0,1.42776,2446.01001,1012,0.062496,1.993983,7.028263,0.003133,0.292028,250.317,4.279682,16373.76,3.681728,1.425793,96.172487,0.950173,49.033049,20.907213,20.267465,19.412454,0.010914,18.20145,48.016689,27.9,62.04575,-177.475232,1.059886,NA,13.830137
"2025/03/06 17:00:50",40,46.599247,27.329916,46.453952,46.026465,48.813384,47.319093,4.434662,3.803992,0.367788,0,0.395486,44.688667,0,29.49942,49.076962,-1.164352,-1.255208,22.392954,46.834484,85.639427,-0.089699,0.64895099999999994,0.457444,43.338539,34.749115,-0.153356,24.719328,1,0,1,0,3.674768,2.826967,0.465856,0.240584,0,0.35382,86.459511,87.526642,30.023151,60.931713,1.568577,0.861979,87.391754,90.640343,49.155094,74.236115,0,0,1.35923,2446.02002,1012,0.062952,2.061466,7.007045,0.00278,0.659942,250.403,4.265011,16373.8,3.703951,1.288076,36.986253,0.938198,48.998713,20.906737,20.262064,19.415745,0.010888,18.210003,47.991914,27.9,61.738214,-160.333623,1.028688,NA,13.511527
"2025/03/06 17:01:10",60,46.713253,27.365446,46.874734,46.413845,48.553981,47.336379,4.454629,3.803992,0.368793,0,0.395486,44.750874,0,29.652777,49.068279,-1.154225,-1.255208,22.452265,47.394363,85.797188,-0.109954,0.64895099999999994,0.457444,43.328419,34.749126,-0.109954,24.768518,1,0,1,0,3.674768,2.826967,0.465856,0.232401,0,0.353762,86.56218,87.681175,29.800348,48.081593,1.568606,0.871991,87.576447,90.775185,49.267933,74.146408,0,0,1.23623,2446.02002,1012,0.062521,2.255151,6.913083,0.002759,-0.026273,250.49,4.305808,16373.84,3.695716,1.290922,13.605679,0.937104,48.945298,20.907186,20.212372,19.444954,0.010965,18.201584,47.926603,27.9,61.437792,-157.881673,1.002984,NA,13.209903
"2025/03/06 17:01:30",80,46.785557,27.379278,46.762965,45.836133,46.029719,46.636712,4.454634,3.803992,0.367781,0,0.395486,44.750587,0,29.522572,49.071175,-1.164352,-1.255208,22.442146,47.63166,85.989571,-0.109954,0.64895099999999994,0.457444,43.328407,34.738995,-0.075231,24.84664,1,0,1,0,3.674768,2.826967,0.465856,0.22308,0,0.343663,86.735802,87.847511,29.754049,33.139469,1.558535,0.892014,87.730911,90.546249,49.097221,76.660873,0,0,1.07083,2446.030029,1012,0.063012,2.334359,6.820463,0.002365,0.101921,250.577,4.380501,16373.88,3.698537,1.285458,-48.908737,0.80653,48.926653,20.906675,20.183125,19.471693,0.010922,18.201423,47.891078,27.9,61.195326,-161.732657,1.024539,NA,13.044721
"2025/03/06 17:01:50",100,46.795685,27.445069,45.72109,45.131663,45.166755,46.045117,4.434605,3.803992,0.365748,0,0.395486,44.709503,0,29.583338,49.065388,-1.164352,-1.255208,22.473965,47.644669,86.112541,-0.118634,0.64895099999999994,0.457444,43.318283,34.728569,-0.121528,24.829279,1,0,1,0,3.674768,2.826967,0.465856,0.225122,0,0.353704,86.878464,87.971329,29.846643,34.354744,1.558535,0.892014,87.854424,90.132507,49.15799,73.738426,0,0,1.09293,2446.030029,1012,0.062525,2.29939,6.752518,0.002913,0.060148,250.662,4.414834,16373.92,3.718179,1.287518,-48.903935,0.946665,48.88827,20.907182,20.182483,19.46442,0.010933,18.201669,47.850092,27.9,60.87999,-166.082922,1.039243,NA,12.930792
"2025/03/06 17:02:10",120,46.723652,27.482617,45.307871,44.90454,45.151808,45.597139,4.464637,3.803992,0.362731,0,0.405498,44.658588,0,29.574652,49.013309,-1.164352,-1.255208,22.526039,47.511539,86.15451,-0.10706,0.64895099999999994,0.457444,43.236977,34.738415,-0.072338,24.829281,1,0,1,0,3.674768,2.826967,0.465856,0.227134,0,0.343663,86.992767,88.074333,30.040508,37.841434,1.558535,0.871991,87.90538,90.04055,49.299763,74.864006,0,0,1.10992,2446.040039,1012,0.062034,2.18942,6.75801,0.002751,-0.444294,250.747,4.436506,16373.96,3.701194,1.154327,-48.903565,0.932741,48.855046,20.907695,20.20544,19.475316,0.010914,18.18307,47.806983,27.9,60.618505999999996,-169.503433,1.035306,NA,12.562578
"2025/03/06 17:02:30",140,46.702534,27.480521,45.035898,44.761389,44.592388,45.267038,4.414583,3.793979,0.36072,0,0.405498,44.597244,0,29.626734,49.085644,-1.164352,-1.255208,22.526043,47.268551,86.112556,-0.112847,0.64895099999999994,0.457444,43.20602,34.727997,-0.109954,24.83507,1,0,1,0,3.674768,2.826967,0.465856,0.222959,0,0.343663,87.054123,88.166336,29.803238,31.811344,1.558535,0.912153,87.955994,89.729729,49.233212,0.555556,0,0,1.08403,2446.050049,1012,0.062032,2.062125,6.882935,0.00316,0.107666,250.832,4.454633,16374,3.691035,1.421999,-48.912325,0.940838,48.807447,20.907698,20.235687,19.454077,0.01093,18.169068,47.752206,28.1,60.362693,-170.347994,1.028152,NA,12.463406
"2025/03/06 17:02:50",160,46.661449,27.485706,44.790039,44.583591,44.40785,45.081851,4.434607,3.793979,0.357682,0,0.405498,44.566582,0,29.510998,49.056709,-1.164352,-1.255208,22.566547,46.984962,85.993904,-0.101273,0.64895099999999994,0.457444,43.174496,34.728287,-0.135995,24.945019,1,0,1,0,3.674768,2.826967,0.465856,0.226983,0,0.343663,87.126144,88.208,30.040508,37.725693,1.568549,0.912153,87.996788,88.89492,49.146416,0.570023,0,0,1.14882,2446.050049,1012,0.061637,1.975634,3.851957,0.003109,-0.123925,250.87,4.307567,16374.04,3.713275,1.29006,-48.904801,0.94536,48.759855,20.90811,20.254728,19.685827,0.010949,18.825928,47.745563,28.1,60.089894,-170.443981,1.046546,NA,12.399988
"2025/03/06 17:03:10",180,46.650455,27.487079,44.619564,44.491349,44.632563,45.009137,4.424595,3.793979,0.355628,0,0.405498,44.536743,0,29.432871,49.079857,-1.164352,-1.255208,22.607061,46.750565,85.857941,-0.109954,0.64895099999999994,0.457444,43.15424,34.72858,-0.124421,24.809027,1,0,1,0,3.674768,2.826967,0.465856,0.230027,0,0.353675,87.176781,88.177345,29.704861,42.152779,1.568549,0.912153,87.955711,88.246185,49.140625,0.535301,0,0,1.20958,2446.060059,1012,0.061572,1.917084,0.313492,0.003076,0.107236,250.956,4.377681,16374.08,3.680123,1.289517,-48.908565,0.803069,48.742641,20.908178,20.267336,20.885458,0.010971,19.22446,47.702554,28.1,59.839127,-168.599495,0.999317,NA,12.117493
