"time","t","yT0","yT1","yT2","yT3","yT4","yT5","A010_BF01 - [m³/h]","A010_BF02 - [m³/h]","A010_BL01 - [m]","A010_BL02 - [Digital]","A010_BP01 - [bar]","A010_BT02 - [°C]","A010_EB01 - [Digital]","A010_GP01_PV - [%]","A010_GP02_PV - [%]","A020_BP01 - [mbar]","A020_BP02 - [mbar]","A020_BT01 - [°C]","A020_BT02 - [°C]","A020_BT03 - [°C]","A020_GQ01_PV - [%]","A030_BL01 - [m]","A030_BL02 - [m]","A030_BT01 - [°C]","A030_BT02 - [°C]","A030_GP01_PV - [%]","A030_GP02_PV - [%]","A030_QM01_Closed - [Digital]","A030_QM01_Opened - [Digital]","A030_QM02_Closed - [Digital]","A030_QM02_Opened - [Digital]","A040_QN01_PV - [% open]","A040_QN03_PV - [% open]","A040_QN04_PV - [% open]","A050_BL01 - [m]","A050_BL02 - [Digital]","A050_BP01 - [bar]","A050_BT01 - [°C]","A050_BT02 - [°C]","A050_GP01_PV - [%]","A050_GP02_PV - [%]","A060_BP01 - [bar]","A060_BP02 - [bar]","A060_BT01 - [°C]","A060_BT02 - [°C]","A060_GP01_PV - [%]","A060_QN01_PV - [% open]","A070_GP01 - [Digital]","A080_GP01 - [Digital]","A193_BE01_kW - [kW]","A193_BE01_kWh - [kW/h]","Barometer Elab - [mbar]","CO - [%]","CO - [ppm]","CO2 - [%]","CO2_kedel - [%]","CO2_tør_abs - [%]","CO2_tør_efter_des - [%]","CO_kedel - [%]","CO_kedel - [ppm]","Damp_kedel - [kWh]","Effekt - [kW]","El effekt - [Wh]","Flow - [m³/h]","Flow_efter_abs - [Pa]","Flow_efter_des - [Pa]","Flow_før abs - [Pa]","Frem - [°C]","NOx - [ppm]","NOx_kedel - [ppm]","O2 - [%]","O2_tør_abs - [%]","O2_tør_efter_des - [%]","O2_våd_abs - [%]","O2_våd_efter_des - [%]","OGC - [ppm]","OGC_kedel - [ppm]","Retur - [°C]","Rum Elab - [°C]","Røg - [°C]","Røgtab - [%]","Scantime","Text entry","Tryk - [Pa]","Vægt - []"
"2024/05/29 14:00:05",0,30.868633,27.800981,30.747533,30.451383,30.290466,30.965834,4.787677,4.336805,0.379471,0,0.517332,29.706604,0,31.524883,36.898148,6.06279,-1.264467,24.029224,31.231184,91.695656,48.266777,0.766927,0.869892,34.500874,29.790224,24.751156,24.872684,1,0,1,0,14.152201,5.983796,0.555556,0.241541,0,1.314671,91.637161,92.291992,49.337379,38.379627,1.57662,0.892998,92.143166,93.202255,49.212963,21.319443,0,0,1.86919,1950.199951,1006.1,0.02194,202.798909,12.896123,12.714001,10.283486,5.952535,0.025765,269.500893,17.165,80.176489,52436.8,3.704019,98.616728,-0.452222,76.092328,67.26997,-124.999971,-125.000682,7.511875,6.766093,18.971873,0.013304,17.941259,-500.000718,-499.414914,48.343846,30.9,154.762901,-6.71969,1.283215,NA,12.664284,-1
"2024/05/29 14:00:25",20,30.878769,27.767618,30.816504,30.447163,30.351859,31.002077,4.817704,4.336805,0.379471,0,0.517332,29.726873,0,31.565393,36.770828,6.042535,-1.264467,24.017651,31.23119,91.673965,48.246529,0.769669,0.870905,34.490746,29.800064,24.754051,24.890047,1,0,1,0,14.152199,5.983796,0.543981,0.242551,0,1.314671,91.617187,92.271759,49.221642,38.851273,1.57662,0.892998,92.142899,93.252922,49.233215,21.348377,0,0,1.8746,1950.209961,1006.1,0.025113,235.785302,11.881892,12.841048,9.767248,5.965578,0.032126,259.861329,17.248,79.581452,52437.16,3.692176,100.309373,-0.446937,76.971396,67.219462,-124.999425,-124.999203,8.570497,7.419583,18.967967,0.013328,17.938539,-500.001954,-499.408795,48.373544,30.9,155.098265,-7.310901,1.279049,NA,10.64871,-1
"2024/05/29 14:00:45",40,30.888897,27.771499,30.731011,30.378768,30.418467,31.029509,4.757292,4.336805,0.379471,0,0.517332,29.73699,0,31.414928,36.817127,6.053527,-1.264467,24.020544,31.258682,91.673965,48.281246,0.768482,0.8699,34.469635,29.810768,24.629627,24.791666,1,0,1,0,14.152199,5.983796,0.543981,0.242551,0,1.314671,91.617493,92.271759,49.340275,38.700806,1.57662,0.892998,92.132774,93.33419,49.134838,20.619213,0,0,1.84292,1950.219971,1006.1,0.025919,236.014425,11.817377,13.452444,9.316128,5.972697,0.027371,233.455877,17.331,80.144993,52437.52,3.718487,98.265356,-0.589617,76.513228,67.050627,-125.000546,-125.000043,8.637836,8.045499,18.966851,0.013324,17.937565,-499.99977,-499.41569,48.205548,30.9,155.147794,-7.352122,1.357197,NA,10.768214,-1
"2024/05/29 14:01:05",60,30.899025,27.77034,30.916196,30.519053,30.504388,31.121925,4.797281,4.336805,0.379471,0,0.517332,29.747704,0,31.545139,36.837379,6.13484,-1.264178,24.019096,31.310772,91.704346,48.281242,0.769003,0.8699,34.479752,29.790806,24.618053,24.852432,1,0,1,0,14.163773,5.983796,0.543981,0.242551,0,1.314671,91.597244,92.271149,49.574654,38.862846,1.57662,0.892998,92.132774,93.396126,49.123268,19.658566,0,0,1.84654,1950.22998,1006.1,0.022643,209.397491,12.300795,13.538647,9.191818,5.968271,0.028274,230.535448,17.394,80.153134,52437.88,3.696369,98.670977,-0.435673,77.025372,66.995596,-125.000093,-124.999296,8.13326,8.237437,18.973645,0.013269,17.937479,-500.000057,-499.421666,48.035826,30.9,155.034966,-7.051506,1.327874,NA,12.845471,-1
"2024/05/29 14:01:25",80,30.899025,27.752397,30.932939,30.481828,30.539236,31.108488,4.777256,4.336805,0.379471,0,0.517332,29.769112,0,31.576969,36.675346,6.113136,-1.264178,24.029226,31.302092,91.694221,48.243633,0.775029,0.8699,34.459492,29.811348,24.632523,24.904514,1,0,1,0,14.152201,5.983796,0.543981,0.240531,0,1.314671,91.597244,92.271149,49.487843,37.853012,1.57662,0.903038,92.132744,93.364876,49.126152,19.704861,0,0,1.8635,1950.23999,1005.9,0.022682,205.95955,12.566505,13.897018,9.348377,5.968992,0.025101,221.155487,17.417,80.398209,52438.28,3.686657,96.462379,-0.437183,76.74371,66.999233,-125.000596,-124.999943,7.85592,8.053055,18.975427,0.013336,17.951251,-500.000776,-499.405836,47.931393,31.6,155.641826,-6.936959,1.374087,NA,5.498905,-1
"2024/05/29 14:01:45",100,30.919573,27.736489,30.811656,30.468015,30.483897,31.125947,4.777251,4.336805,0.379471,0,0.517332,29.778942,0,31.478588,36.762154,6.080728,-1.264178,24.008974,31.322346,91.70723,48.263885,0.773828,0.870906,34.449371,29.800928,24.635414,24.797451,1,0,1,0,14.152201,5.983796,0.543981,0.240539,0,1.314671,91.607666,92.260185,49.502308,37.424767,1.57662,0.892998,92.132751,93.229156,49.256363,20.830441,0,0,1.84798,1950.25,1005.9,0.021488,195.190525,12.766531,13.662549,9.448067,5.933997,0.025773,223.292135,17.498,80.37848,52438.64,3.684897,97.868829,-0.497371,77.148654,66.96127,-124.999576,-124.999397,7.647139,7.937289,18.980928,0.013308,17.951285,-500.002126,-499.416035,47.889002,31.6,155.114877,-6.798421,1.373771,NA,1.311066,-1
"2024/05/29 14:02:05",120,30.940107,27.76153,30.967384,30.530504,30.600884,31.163222,4.747223,4.336805,0.379471,0,0.517332,29.789068,0,31.490162,36.808449,6.100986,-1.263599,23.985823,31.322346,91.675423,48.278355,0.773329,0.870906,34.449371,29.78936,24.64699,24.835068,1,0,1,0,14.152199,5.983796,0.543981,0.242566,0,1.314671,91.597557,92.250336,49.201389,38.778938,1.57662,0.892998,92.102386,93.239281,49.259254,21.278934,0,0,1.92251,1950.26001,1005.9,0.022244,201.478394,12.698259,13.527197,9.598687,5.960769,0.025122,216.770347,17.581,80.843632,52439,3.701657,98.426226,-0.49326,77.059002,66.974088,-125.000323,-124.999899,7.718399,7.734507,18.977769,0.013354,17.950805,-499.997817,-499.414627,47.878302,31.6,155.614389,-6.860453,1.333313,NA,0.964992,-1
"2024/05/29 14:02:25",140,30.950233,27.777622,30.887588,30.573225,30.630911,31.184034,4.757176,4.336805,0.379471,0,0.517332,29.800056,0,31.556711,36.710068,6.107928,-1.263599,23.954002,31.39324,91.695656,48.287033,0.772628,0.87194,34.469627,29.809608,24.716434,24.901619,1,0,1,0,14.152199,5.983796,0.543981,0.242566,0,1.314671,91.607666,92.240204,49.239002,38.770252,1.57662,0.892998,92.102386,93.342873,49.157986,20.390623,0,0,1.92964,1950.27002,1005.9,0.021772,197.55342,12.408371,13.902555,9.490203,5.96693,0.027101,214.702164,17.668,80.63743,52439.36,3.695964,97.430001,-0.493367,76.227257,66.982667,-124.999203,-124.998937,8.020976,7.847924,18.97852,0.013335,17.94611,-499.99819,-499.413679,47.906249,31.6,155.2858,-7.001019,1.34707,NA,0.940505,-1
"2024/05/29 14:02:45",160,30.970493,27.811637,30.884929,30.580899,30.663272,31.225092,4.777369,4.336805,0.379471,0,0.517332,29.810476,0,31.576969,36.860531,6.022858,-1.264467,23.946772,31.393238,91.681183,48.24942,0.77309,0.870913,34.449085,29.809908,24.733795,24.832176,1,0,1,0,14.152201,5.983796,0.543981,0.242566,0,1.314671,91.59639,92.240204,49.447334,38.857059,1.57662,0.892997,92.112503,93.403923,49.250576,19.348957,0,0,1.9131,1950.280029,1005.9,0.020855,193.21419,12.807669,13.081176,9.519032,5.966132,0.027366,240.323804,17.709,81.025391,52439.76,3.708703,96.58171,-0.38526,76.871152,66.969638,-125.000338,-124.999512,7.6042,7.85884,18.973599,0.013341,17.937815,-500.002011,-499.413334,47.867283,31.6,155.501453,-6.792294,1.316807,NA,0.026043,-1
"2024/05/29 14:03:05",180,30.980618,27.835177,30.816246,30.514037,30.666826,31.198855,4.767191,4.336805,0.379471,0,0.517332,29.840858,0,31.458332,36.707172,6.15307,-1.25434,23.956892,31.401918,91.714455,48.258099,0.774544,0.871933,34.449387,29.78936,24.701963,24.890047,1,0,1,0,14.152201,5.983796,0.543981,0.239522,0,1.314671,91.59639,92.240204,49.401039,37.421871,1.57662,0.892997,92.102074,93.310753,49.11747,20.078123,0,0,1.8841,1950.300049,1005.9,0.022753,210.079283,12.15341,13.796453,9.488746,5.934629,0.027143,220.927804,17.757,80.474373,52440.12,3.707039,96.960006,-0.350112,76.024492,66.967957,-125.000129,-124.99888,8.287096,7.79943,18.985667,0.013322,17.941421,-500.000776,-499.410921,47.986991,31.6,155.765929,-7.17469,1.321274,NA,0.098414,-1
