"time","t","yT0","yT1","yT2","yT3","yT4","yT5","A010_BF01 - [m³/h]","A010_BF02 - [m³/h]","A010_BL01 - [m]","A010_BL02 - [Digital]","A010_BP01 - [bar]","A010_BT02 - [°C]","A010_EB01 - [Digital]","A010_GP01_PV - [%]","A010_GP02_PV - [%]","A020_BP01 - [mbar]","A020_BP02 - [mbar]","A020_BT01 - [°C]","A020_BT02 - [°C]","A020_BT03 - [°C]","A020_GQ01_PV - [%]","A030_BL01 - [m]","A030_BL02 - [m]","A030_BT01 - [°C]","A030_BT02 - [°C]","A030_GP01_PV - [%]","A030_GP02_PV - [%]","A030_QM01_Closed - [Digital]","A030_QM01_Opened - [Digital]","A030_QM02_Closed - [Digital]","A030_QM02_Opened - [Digital]","A040_QN01_PV - [% open]","A040_QN03_PV - [% open]","A040_QN04_PV - [% open]","A050_BL01 - [m]","A050_BL02 - [Digital]","A050_BP01 - [bar]","A050_BT01 - [°C]","A050_BT02 - [°C]","A050_GP01_PV - [%]","A050_GP02_PV - [%]","A060_BP01 - [bar]","A060_BP02 - [bar]","A060_BT01 - [°C]","A060_BT02 - [°C]","A060_GP01_PV - [%]","A060_QN01_PV - [% open]","A070_GP01 - [Digital]","A080_GP01 - [Digital]","A193_BE01_kW - [kW]","A193_BE01_kWh - [kW/h]","Barometer Elab - [mbar]","CO - [%]","CO - [ppm]","CO2 - [%]","CO2_kedel - [%]","CO2_tør_abs - [%]","CO2_tør_efter_des - [%]","CO_kedel - [%]","CO_kedel - [ppm]","Damp_kedel - [kWh]","Effekt - [kW]","El effekt - [Wh]","Flow - [m³/h]","Flow_efter_abs - [Pa]","Flow_efter_des - [Pa]","Flow_før abs - [Pa]","Frem - [°C]","NOx - [ppm]","NOx_kedel - [ppm]","O2 - [%]","O2_tør_abs - [%]","O2_tør_efter_des - [%]","O2_våd_abs - [%]","O2_våd_efter_des - [%]","OGC - [ppm]","OGC_kedel - [ppm]","Retur - [°C]","Rum Elab - [°C]","Røg - [°C]","Røgtab - [%]","Scantime","Text entry","Tryk - [Pa]","Vægt - []"
"2024/06/27 23:00:15",0,30.633965,27.030762,30.433838,30.181071,29.640037,30.517271,9.143972,8.671293,0.31977,0,1.339323,29.728018,0,49.004631,36.744789,-1.165799,-1.26765,30.231495,30.804382,94.552971,9.279513,0.461523,0.475528,31.751738,34.535305,24.675924,24.814816,1,0,1,0,5.185185,15.975116,0.52662,0.239665,0,1.285127,94.391182,95.258926,49.26215,36.982052,1.548872,0.880555,95.025146,96.390038,49.117474,21.64352,0,0,2.35494,2210.110107,1005,0.056367,531.28299,11.246693,12.475993,0.805912,4.689658,0.056218,508.494928,999.383,72.823085,60884.92,3.688949,55.569145,-0.380147,2.831631,65.345993000000007,-124.999655,86.14313,9.233499,8.663716,19.609352,0.013148,18.100624,-499.998247,-499.403365,48.085458,29.9,177.26227,-9.133485,1.313635,NA,13.150461,-1
"2024/06/27 23:00:35",20,30.644093,26.999596,30.477456,30.188582,29.646386,30.516758,9.093458,8.671293,0.31977,0,1.339323,29.728018,0,49.129051,36.883682,-1.165799,-1.26765,30.234385,30.80294,94.526901,9.2853,0.461523,0.475528,31.751738,34.515053,24.667246,24.890047,1,0,1,0,5.173611,15.975116,0.52662,0.239665,0,1.285127,94.381622,95.258652,49.638313,36.796867,1.548872,0.880526,95.024864,96.460937,49.320019,20.503469,0,0,2.41818,2210.120117,1005,0.052098,482.670997,11.618447,13.144083,0.79908,4.69186,0.056845,462.470987,999.468,72.822078,60885.36,3.705186,37.897788,-0.385145,2.831664,65.203787,-124.999971,90.650086,8.845474,8.73089,19.604684,0.013125,18.109549,-499.998046,-499.404629,48.019129,29.9,177.460493,-8.853216,1.279421,NA,12.714981,-1
"2024/06/27 23:00:55",40,30.654224,26.972088,30.571581,30.155868,29.665843,30.538922,9.095087,8.671293,0.31977,0,1.339323,29.697338,0,49.027779,36.866325,-1.165799,-1.26765,30.232943,30.791367,94.515335,9.279514,0.461523,0.475528,31.751738,34.504932,24.658564,24.76852,1,0,1,0,5.185185,15.975116,0.52662,0.240675,0,1.285127,94.381622,95.258652,49.288193,37.424767,1.548872,0.880585,95.035301,96.533554,49.186924,19.001736,0,0,2.24526,2210.139893,1005,0.046747,433.416776,12.054307,13.509611,0.780514,4.678091,0.052499,418.371985,999.503,72.723014,60885.72,3.6945,37.408842,-0.417789,2.669636,65.196554,-125.000488,94.123538,8.390536,8.927234,19.606055,0.013147,18.109113,-500.000776,-499.400032,47.985635,29.9,178.045415,-8.56578,1.298946,NA,1.311741,-1
"2024/06/27 23:01:15",60,30.644094,26.959086,30.74321,30.122991,29.670191,30.546026,9.146821,8.671293,0.31977,0,1.339323,29.686636,0,48.964119,36.860538,-1.165799,-1.26765,30.264765,30.789917,94.518219,9.288195,0.461523,0.475528,31.751738,34.493942,24.589121,24.823496,1,0,1,0,5.185185,15.975116,0.52662,0.236643,0,1.285127,94.391739,95.258644,49.45023,35.419556,1.548872,0.880585,95.045433,96.501732,49.143517,19.699072,0,0,2.23422,2210.149902,1005,0.042989,397.444935,12.441325,13.75172,0.77555,4.667886,0.053851,456.064866,999.588,72.899289,60886.12,3.691874,19.217544,-0.418995,2.714482,65.215915,-125.000294,99.742351,7.986579,9.107096,19.610026,0.013136,18.113841,-499.998592,-499.40213,47.951006,29.9,178.35431,-8.316301,1.31833,NA,-1.183598,-1
"2024/06/27 23:01:35",80,30.633675,26.939243,30.657301,30.150459,29.652657,30.536492,9.196873,8.671293,0.31977,0,1.339323,29.696762,0,49.126156,36.739006,-1.165799,-1.26765,30.243067,30.788471,94.528358,9.288194,0.461523,0.475528,31.751738,34.463558,24.620947,24.788773,1,0,1,0,5.185185,15.975116,0.52662,0.238648,0,1.285127,94.391747,95.248192,49.398144,36.331017,1.548872,0.880585,95.045433,96.491013,49.184029,19.603586,0,0,2.21011,2210.159912,1005,0.039406,364.959216,13.02572,13.101864,0.772846,4.673365,0.053900000000000003,477.436169,999.673,73.110487,60886.52,3.68957,19.443105,-0.531285,2.5403,65.287253,-125.000029,99.521762,7.376606,9.137395,19.608177,0.013097,18.096717,-499.997299,-499.398395,47.961514,29.8,177.856466,-7.916951,1.298341,NA,15.122084,-1
"2024/06/27 23:01:55",100,30.633675,26.948217,30.707562,30.117213,29.646848,30.526351,9.135655,8.671293,0.318757,0,1.339323,29.686626,0,49.181133,36.837383,-1.165799,-1.26765,30.273437,30.778355,94.516769,9.288194,0.461523,0.475528,31.751738,34.455162,24.638309,24.942129,1,0,1,0,5.185185,15.975116,0.52662,0.239642,0,1.285127,94.391754,95.258339,49.296871,37.236691,1.548872,0.870544,95.044846,96.531555,49.166668,19.644096,0,0,2.43873,2210.169922,1005,0.045474,421.444511,12.587109,13.154488,0.780507,4.693045,0.056566,474.377375,999.703,73.498964,60886.92,3.704834,1.209858,-0.485095,2.612723,65.350733,-124.999677,95.762964,7.834414,9.061923,19.602526,0.013128,18.100733,-499.99819,-499.406496,48.004693,29.8,177.175801,-8.155536,1.322911,NA,15.1201,-1
"2024/06/27 23:02:15",120,30.633675,26.970586,30.634937999999998,30.23011,29.662129,30.502348,9.075179,8.671293,0.318757,0,1.339323,29.686626,0,49.334484,36.756367,-1.165799,-1.26765,30.267656,30.800041,94.516777,9.293982,0.461523,0.475528,31.771704,34.433468,24.594906,24.800346,1,0,1,0,5.185185,15.975116,0.52662,0.237623,0,1.285127,94.391159,95.268173,49.334484,35.972221,1.548872,0.880555,95.045418,96.510994,49.169563,19.710648,0,0,2.41053,2210.189941,1005,0.046155,425.350637,12.328061,12.461096,0.791478,4.688464,0.05708,534.349225,999.788,73.026757,60887.32,3.691619,1.461471,-0.395723,2.826829,65.363271,-125.000086,94.59193,8.1048,8.934182,19.606539,0.013129,18.104459,-499.998592,-499.402446,48.06698,29.8,177.338287,-8.337496,1.338328,NA,-1.171957,-1
"2024/06/27 23:02:35",140,30.633675,26.983158,30.665251,30.16592,29.63658,30.504227,9.06135,8.671293,0.318757,0,1.339323,29.697346,0,48.995949,36.857643,-1.165799,-1.26765,30.283562,30.792809,94.528343,9.293982,0.461523,0.475528,31.771406,34.42247,24.612268,24.791666,1,0,1,0,5.185185,15.975116,0.52662,0.239642,0,1.285127,94.401276,95.258347,49.528358,36.886574,1.548872,0.880555,95.045418,96.510117,49.244785,19.6875,0,0,2.28846,2210.199951,1005,0.047769,450.595744,11.956584,13.154485,0.783201,4.678787,0.05892,498.331127,999.873,72.936824,60887.72,3.692628,72.424128,-0.468656,2.904339,65.334139,-124.999339,91.784596,8.492537,8.81892,19.606449,0.013105,18.081424,-499.998219,-499.399084,48.063867,29.8,177.473203,-8.604321,1.320426,NA,-1.178364,-1
"2024/06/27 23:02:55",160,30.633675,26.906455,30.81187,30.167442,29.652666,30.495413,9.113073,8.671293,0.318757,0,1.339323,29.69676,0,49.016201,36.820019,-1.165799,-1.26765,30.264765,30.784134,94.516747,9.302661,0.461523,0.475528,31.791374,34.432018,24.629627,24.811924,1,0,1,0,5.185185,15.975116,0.52662,0.237592,0,1.285127,94.401276,95.247917,49.210068,35.934608,1.548872,0.880555,95.045418,96.541077,49.160881,19.646992,0,0,2.36914,2210.209961,1005,0.050216,470.160075,11.840609,12.776493,0.782389,4.692417,0.057979,518.690129,999.909,72.774043,60888.12,3.700496,55.584199,-0.488537,2.987223,65.266984,-125.000093,94.25375,8.613587,8.831646,19.603597,0.013158,18.109059,-499.997414,-499.402503,48.071894,29.8,177.243736,-8.675552,1.32664,NA,15.727688,-1
"2024/06/27 23:03:15",180,30.633675,26.862796,30.631455,30.143526,29.640884,30.446431,9.194556,8.661291,0.318757,0,1.339323,29.697054,0,48.828125,36.935757,-1.165799,-1.26765,30.263321,30.794252,94.509529,9.293982,0.461523,0.475528,31.791094,34.42247,24.713541,24.84664,1,0,1,0,5.185185,15.975116,0.52662,0.233546,0,1.285127,94.391174,95.258339,49.62384,33.972801,1.548872,0.880555,95.045418,96.40538,49.30555,20.940393,0,0,2.25725,2210.22998,1005,0.047993,445.781694,12.288258,13.286247,0.78877,4.680135,0.053882,453.089821,999.996,73.000511,60888.52,3.704733,54.426191,-0.26893,2.857081,65.27614,-124.999799,92.876184,8.146345,8.883023,19.604701,0.013103,18.100773,-499.997989,-499.395435,48.047267,29.8,177.754567,-8.391401,1.339039,NA,13.234295,-1
