"time","t","yT0","yT1","yT2","yT3","yT4","yT5","A010_BF01 - [m³/h]","A010_BF02 - [m³/h]","A010_BL01 - [m]","A010_BL02 - [Digital]","A010_BP01 - [bar]","A010_BT02 - [°C]","A010_EB01 - [Digital]","A010_GP01_PV - [%]","A010_GP02_PV - [%]","A020_BP01 - [mbar]","A020_BP02 - [mbar]","A020_BT01 - [°C]","A020_BT02 - [°C]","A020_BT03 - [°C]","A020_GQ01_PV - [%]","A030_BL01 - [m]","A030_BL02 - [m]","A030_BT01 - [°C]","A030_BT02 - [°C]","A030_GP01_PV - [%]","A030_GP02_PV - [%]","A030_QM01_Closed - [Digital]","A030_QM01_Opened - [Digital]","A030_QM02_Closed - [Digital]","A030_QM02_Opened - [Digital]","A040_QN01_PV - [% open]","A040_QN03_PV - [% open]","A040_QN04_PV - [% open]","A050_BL01 - [m]","A050_BL02 - [Digital]","A050_BP01 - [bar]","A050_BT01 - [°C]","A050_BT02 - [°C]","A050_GP01_PV - [%]","A050_GP02_PV - [%]","A060_BP01 - [bar]","A060_BP02 - [bar]","A060_BT01 - [°C]","A060_BT02 - [°C]","A060_GP01_PV - [%]","A060_QN01_PV - [% open]","A070_GP01 - [Digital]","A080_GP01 - [Digital]","A193_BE01_kW - [kW]","A193_BE01_kWh - [kW/h]","Barometer Elab - [mbar]","CO2_abs_in - [%]","CO2_tør_abs - [%]","CO2_tør_efter_des - [%]","CO_abs_in - [%]","CO_abs_in - [ppm]","Damp_kedel - [kWh]","Effekt - [kW]","El effekt - [Wh]","Flow - [m³/h]","Flow_efter_abs - [Pa]","Flow_efter_des - [Pa]","Flow_før abs - [Pa]","Frem - [°C]","O2_calc_abs_in - [%]","O2_tør_abs - [%]","O2_tør_efter_des - [%]","O2_våd_abs - [%]","O2_våd_efter_des - [%]","Retur - [°C]","Rum Elab - [°C]","Røg - [°C]","Røgtab - [%]","Scantime","Text entry","Tryk - [Pa]"
"2025/03/06 14:00:10",0,34.244194,26.436339,32.537545,32.422339,33.470936,34.858439,5.043862,3.758855,0.378653,0,0.434838,30.157993,0,29.49942,91.079269,-1.155961,-1.251736,43.482349,35.32988,75.58596,14.146413,0.716059,0.42777,46.064209,29.055841,24.623844,24.85243,1,0,1,0,3.663194,11.869212,0.462963,0.243176,0,0.383218,77.084763,77.853882,29.927664,89.11747,1.608767,0.922222,77.705719,79.840591,49.276619,48.854164,0,0,2.38473,2435.73999,1012.1,16.503212,10.307654,8.985272,0.065749,624.608263,205.207,71.191679,16170.32,3.708707,9.151401,10.870394,11.995026,64.874971,3.746908,4.121799,18.91487,0.010584,18.287545,48.091003,28,158.984577,-5.264932,1.063266,NA,3.441385
"2025/03/06 14:00:30",20,34.233784,26.478388,32.454903,32.000562,33.024925,34.757756,5.02385,3.758855,0.378653,0,0.434838,30.137165,0,29.537033,91.212379,-1.155961,-1.251736,43.493912,35.351574,75.554138,14.123263,0.716059,0.42777,46.063931,29.055841,24.641201,24.840857,1,0,1,0,3.663194,11.869212,0.462963,0.244178,0,0.383218,77.084763,77.894981,29.991318,90.879639,1.608767,0.912211,77.705719,79.570587,49.13773,53.090279,0,0,2.42037,2435.75,1012.1,16.765642,10.399109,9.005711,0.079428,760.61885,205.293,72.356459,16170.68,3.767933,10.396288,14.41768,12.907691,64.952634,3.472992,3.972669,18.915229,0.010606,18.294115,48.162195,28,158.653455,-5.1729,1.057513,NA,12.909589
"2025/03/06 14:00:50",40,34.224239,26.462632,32.543444,32.123632,33.301897,34.713961,5.053876,3.758855,0.378653,0,0.434838,30.137165,0,29.646992,91.119781,-1.155961,-1.251736,43.473671,35.353024,75.56427,14.131943,0.716059,0.42777,46.073753,29.055841,24.586227,24.887154,1,0,1,0,3.663194,11.869212,0.462963,0.244178,0,0.383218,77.084763,77.864288,29.7309,91.064804,1.608767,0.912211,77.664368,79.528915,49.111691,53.590851,0,0,2.36666,2435.77002,1012.1,16.476841,10.541432,8.996191,0.070043,671.393346,205.379,71.735066,16171.08,3.715085,10.485646,21.099544,12.957757,65.034271,3.774434,3.802388,18.906864,0.010595,18.26966,48.15123,28,159.122708,-5.285365,1.059979,NA,5.296585
"2025/03/06 14:01:10",60,34.213531,26.44996,32.422666,32.09893,33.082555,34.73477,5.043861,3.758855,0.378653,0,0.434838,30.137165,0,29.623844,90.844894,-1.155961,-1.252025,43.48378,35.237286,75.502029,14.157987,0.716059,0.42777,46.083908,29.065968,24.655668,24.901621,1,0,1,0,3.663194,11.869212,0.462963,0.245188,0,0.383218,77.043381,77.844017,29.832172,92.664925,1.608767,0.912211,77.633995,79.611633,49.198494,52.714119,0,0,2.30834,2435.780029,1012.1,16.239572,10.469851,8.972884,0.074189,716.731763,205.465,71.667634,16171.48,3.67871,10.128287,25.532325,13.369891,65.058859,4.022087,3.851552,18.919815,0.010542,18.277999,48.024906,28,159.02504,-5.35748,1.049409,NA,11.657202
"2025/03/06 14:01:30",80,34.193283,26.459081,32.460376,32.274347,33.585295,34.670238,5.023791,3.758855,0.378653,0,0.434838,30.137453,0,29.615162,91.137146,-1.155961,-1.252025,43.502594,35.26767,75.487579,14.143519,0.716059,0.42777,46.0839,29.076092,24.609373,24.913193,1,0,1,0,3.663194,11.869212,0.462963,0.245188,0,0.383218,77.022858,77.844017,29.988428,92.650452,1.608767,0.902171,77.633995,79.777229,49.157986,51.174767,0,0,2.3075,2435.790039,1012.1,16.494041,10.409425,9.021537,0.091099,884.435737,205.551,72.804195000000007,16171.84,3.730535,9.844627,25.268191,11.813037,65.045568,3.756481,3.95928,18.891951,0.010527,18.283525,47.981871,28,158.627073,-5.260675,1.038172,NA,14.802088
"2025/03/06 14:01:50",100,34.192997,26.41571,32.510014,32.074677,33.199424,34.776057,5.043802,3.758855,0.378653,0,0.434838,30.137453,0,29.482061,91.128464,-1.155961,-1.252025,43.511265,35.244518,75.488998,14.131945,0.716059,0.42777,46.0839,29.076094,24.609375,24.921873,1,0,1,0,3.663194,11.869212,0.462963,0.245188,0,0.38316,77.002342,77.833015,29.982639,92.731476,1.608767,0.902171,77.633987,79.89006,49.204277,50.081017,0,0,2.34749,2435.810059,1012.1,16.859896,10.451899,9.00315,0.095917,945.383175,205.637,72.781166,16172.24,3.695946,9.981305,23.701337,12.820535,65.141308,3.374613,3.874474,18.899938,0.010535,18.278185,47.923362,28,158.656636,-5.143354,1.73172,NA,9.580934
"2025/03/06 14:02:10",120,34.172741,26.383868,32.587262,32.14456,33.315549,34.738431,5.043745,3.758855,0.378653,0,0.434838,30.137453,0,29.652777,90.995369,-1.155961,-1.252025,43.519947,35.267666,75.503494,14.131945,0.716059,0.42777,46.094326,29.076094,24.635416,24.916086,1,0,1,0,3.663194,11.869212,0.462963,0.245188,0,0.38316,77.022858,77.832733,29.950809,92.864586,1.608767,0.9022,77.623856,79.940964,49.181133,48.984367,0,0,2.29625,2435.820068,1012.1,16.445459,10.547569,9.010863,0.083117,797.807988,205.727,72.604362,16172.64,3.692925,9.703756,25.878901,11.575734,65.159902,3.807189,3.637904,18.920615,0.010532,18.287418,47.969736,27.9,158.635296,-5.273663,1.011864,NA,14.24441
"2025/03/06 14:02:30",140,34.172451,26.287941,32.343279,32.184532,33.797512,34.69198,5.043748,3.758855,0.379666,0,0.434838,30.137453,0,29.560184,90.99826,-1.155961,-1.252314,43.508373,35.257545,75.494797,14.149305,0.716059,0.42777,46.093739,29.096931,24.528355,24.881367,1,0,1,0,3.663194,11.869212,0.462963,0.245188,0,0.38316,77.043678,77.842567,29.76273,93.032402,1.608767,0.9022,77.654259,79.981506,49.175346,48.952541,0,0,2.52878,2435.830078,1012.1,16.30905,10.511778,8.914001,0.078311,756.329875,205.813,72.492249,16173,3.695309,8.873344,28.107957,12.676665,65.115537,3.949569,3.71688,18.92275,0.010572,18.274335,47.962989,27.9,158.805697,-5.327079,1.124724,NA,7.355487
"2025/03/06 14:02:50",160,34.172451,26.209637,32.636172,32.058603,33.195547,34.801038,5.073782,3.758855,0.379666,0,0.434838,30.137453,0,29.632519,91.119781,-1.155961,-1.252314,43.508377,35.258987,75.525192,14.155092,0.716059,0.42777,46.103882,29.107634,24.618053,24.806135,1,0,1,0,3.663194,11.869213,0.462963,0.245188,0,0.38316,77.063927,77.864281,29.837961,93.015038,1.608767,0.91224,77.664368,80.002037,49.079857,47.986107,0,0,2.38753,2435.850098,1012.1,16.139422,10.434062,8.936519,0.083382,805.5371,205.899,72.188047,16173.4,3.676922,10.125269,28.654134,12.540483,65.095151,4.126621,3.831508,18.91123,0.010548,18.292814,47.929163,27.9,158.746122,-5.375754,1.07363,NA,9.324614
"2025/03/06 14:03:10",180,34.151905,26.063166,32.486771,32.111461,33.587536,34.797399,5.073781,3.758855,0.379666,0,0.434838,30.116621,0,29.701965,90.931709,-1.155961,-1.252314,43.499699,35.269115,75.561378,14.137732,0.716059,0.42777,46.093746,29.128176,24.542826,24.916086,1,0,1,0,3.663194,11.869213,0.462963,0.244186,0,0.38316,77.074089,77.864281,30.130207,92.980324,1.608767,0.912268,77.664375,80.033249,49.18692,48.04977,0,0,2.50952,2435.860107,1012.1,16.11208,10.386013,9.056034,0.098266,967.866837,205.987,72.270373,16173.8,3.6713,9.738603,14.842241,14.059515,65.088968,4.155159,3.939193,18.910664,0.010623,18.278022,47.87709,27.9,158.659103,-5.381254,1.005218,NA,9.985567
"2025/03/06 14:03:30",200,34.141773,26.021248,32.716334,32.251967,33.317043,34.774671,5.063717,3.758855,0.379666,0,0.434838,30.116619,0,29.528357,91.128464,-1.155961,-1.252314,43.509823,35.27779,75.552704,14.126157,0.716059,0.42777,46.093746,29.097794,24.563076,24.872683,1,0,1,0,3.663194,11.869213,0.462963,0.242159,0,0.38316,77.084198,77.895241,29.713541,89.094322,1.608767,0.922309,77.685188,79.805,49.169563,50.500572,0,0,2.43129,2435.870117,1012.1,16.088727,10.423769,8.876937,0.0847,816.026862,206.07,71.894106,16174.16,3.677,10.12041,7.045519,11.716179,64.965104,4.1795349999999996,3.964994,18.918224,0.010632,18.306533,47.869377,27.9,158.785957,-5.395573,1.002503,NA,12.459606
"2025/03/06 14:03:51",221,34.120949,26.089339,32.57703,32.219653,33.206344,34.509221,5.073724,3.758855,0.379666,0,0.434838,30.116619,0,29.456018,91.0243,-1.155961,-1.252314,43.511269,35.250305,75.559921,14.140625,0.716059,0.42777,46.103901,29.118057,24.658566,24.780094,1,0,1,0,3.663194,11.869213,0.462963,0.243169,0,0.38316,77.09433,77.905373,29.904514,90.679977,1.608767,0.912268,77.695023,79.537567,49.169563,54.730896,0,0,2.27099,2435.879883,1012.1,15.739203,10.359501,8.956387,0.084044,806.630937,206.155,71.8603,16174.56,3.691708,9.730064,18.218837,13.380542,64.901219,4.544357,3.97468,18.926012,0.010628,18.301829,47.881608,27.9,158.493676,-5.5142,1.03076,NA,9.206275
"2025/03/06 14:04:11",241,34.121235,26.113308,32.297111,32.087607,32.790947,34.547001,5.013654,3.758855,0.378646,0,0.434838,30.116619,0,29.59201,90.888306,-1.155961,-1.252314,43.492466,35.208344,75.561378,14.160879,0.716059,0.42777,46.09404,29.117765,24.635416,24.80035,1,0,1,0,3.663194,11.869213,0.462963,0.243169,0,0.38316,77.084198,77.83445,30.069443,90.567131,1.608767,0.912268,77.643837,79.505753,49.163776,54.693279,0,0,2.26133,2435.899902,1012.1,16.246962,10.309581,8.902915,0.078654,759.114613,206.241,71.848234,16174.92,3.710037,9.845768,21.66574,12.130054,64.889403,4.014374,4.170594,18.930082,0.010561,18.292704,47.956719,27.9,158.736175,-5.350688,1.007598,NA,13.276923
"2025/03/06 14:04:31",261,34.100983,26.158216,32.229934,31.91831,33.658058,34.59993,5.043749,3.758855,0.378646,0,0.434838,30.106487,0,29.560186,91.145821,-1.155961,-1.252314,43.502594,35.188084,75.490486,14.143519,0.716059,0.42777,46.104176,29.1276,24.652779,24.725117,1,0,1,0,3.663194,11.869213,0.462963,0.244178,0,0.38316,77.053215,77.814217,29.771412,92.216431,1.608767,0.902257,77.623268,79.609032,49.178242,53.573494,0,0,2.28612,2435.909912,1012.1,16.29028,10.385264,8.985257,0.075167,719.537961,206.327,70.581795,16175.32,3.64098,9.624075,28.72389,11.988893,64.916141,3.96916,4.045144,18.9228,0.010593,18.301954,47.96643,27.9,158.594201,-5.328085,1.10653,NA,0.352223
"2025/03/06 14:04:51",281,34.100983,26.220915,32.382052,31.919745,32.96942,34.64823,5.043744,3.758855,0.379659,0,0.434838,30.096355,0,29.548611,91.255791,-1.155961,-1.252314,43.502583,35.199657,75.489006,14.117476,0.716059,0.42777,46.104176,29.11718,24.67882,24.829283,1,0,1,0,3.663194,11.869212,0.462963,0.244178,0,0.38316,77.022263,77.793976,30.312496,92.343742,1.608767,0.902257,77.613144,79.773178,49.160881,52.459492,0,0,2.27818,2435.919922,1012.1,16.298816,10.467678,9.017871,0.069389,671.422507,206.417,71.315343,16175.72,3.696396,10.255571,25.965642,11.770324,64.873115,3.96025,3.980324,18.915305,0.010635,18.301988,48.003998,27.9,158.751733,-5.329985,1.050259,NA,12.403378
"2025/03/06 14:05:11",301,34.100983,26.144426,32.418146,32.149418,33.511777,34.621996,5.023734,3.758855,0.379659,0,0.434838,30.085648,0,29.696178,91.105309,-1.155961,-1.252314,43.512711,35.159145,75.519417,14.134837,0.716059,0.42777,46.124443,29.10705,24.609375,24.76852,1,0,1,0,3.663194,11.869212,0.462963,0.244178,0,0.38316,77.032379,77.814499,29.962383,92.384254,1.608767,0.912298,77.613144,79.886017,49.120369,51.374413,0,0,2.30975,2435.939941,1012.1,16.179555,10.409209,8.964724,0.07527,725.58131,206.503,71.730981,16176.08,3.73215,9.706177,25.50196,11.710456,64.861859,4.084731,3.94005,18.917061,0.010585,18.297428,48.056975,27.9,158.482822,-5.358774,1.004308,NA,1.524046
"2025/03/06 14:05:31",321,34.100983,26.106862,32.44078,32.109461,33.587415,34.600509,5.063776,3.758855,0.379659,0,0.434838,30.095783,0,29.649881,90.989578,-1.155961,-1.252314,43.502586,35.201115,75.489006,14.152199,0.716059,0.428776,46.124443,29.137442,24.571756,25.017359,1,0,1,0,3.663194,11.869212,0.462963,0.245195,0,0.38316,77.032379,77.804665,29.803242,94.071182,1.608767,0.912298,77.623871,79.947639,49.163776,50.454281,0,0,2.42029,2435.949951,1012.1,16.296321,10.363983,8.856044,0.074674,719.021225,206.589,71.06254,16176.48,3.700229,9.706642,29.560724,11.437232,64.806328,3.962855,4.008402,18.939474,0.010586,18.311248,48.014422,27.9,158.064661,-5.303339,1.028898,NA,14.515334
